Date,Open,High,Low,Close*,Adj Close**,Volume,Daily_Return,Log_Return,MA_20,Volatility_20,Intraday_Range,DayOfWeek,Month,Quarter,RSI,MACD,MACD_Signal,MACD_Diff,Bollinger_High,Bollinger_Low,Bollinger_Percent,Bollinger_Width,OBV,ADX,Anomaly
2023-02-10,33671.54,33897.31,33591.99,33869.27,33869.27,288150000,-0.01099867925911202,-0.011059611929691772,33192.727,0.009469413735241402,305.3199999999997,4,2,1,59.55100165818653,323.9818610456423,182.8709754399132,141.1108856057291,34430.30828103328,31955.14571896672,0.7733327541263147,7.456942486426494,-2367310000,25.221124968834193,1.0
2023-02-09,34105.61,34252.57,33607.13,33699.88,33699.88,347520000,-0.005001288778884172,-0.005013837079543098,33282.239,0.009644472653851086,645.4400000000023,3,2,1,56.55788828316256,308.6695775182525,208.03069585558106,100.63888166267142,34387.56077113996,32176.917228860046,0.6889228145616225,6.64211185515467,-2714830000,25.616867446281663,1.0
2023-02-08,34132.9,34161.65,33899.79,33949.01,33949.01,324090000,0.007392607926200556,0.0073654165282216405,33366.9465,0.009523792135280547,261.8600000000006,2,2,1,59.76121953056194,313.02879039544496,229.03031476355383,83.99847563189113,34401.765308724964,32332.12769127503,0.7812393315102111,6.20265812291195,-2390740000,25.984342603911454,1.0
2023-02-07,33769.78,34240.0,33634.1,34156.69,34156.69,361620000,0.006117409609293523,0.006098774220715236,33434.861,0.008964787094845467,605.9000000000015,1,2,1,62.25955778068943,329.4439139841852,249.1130346076801,80.3308793765051,34489.607597186245,32380.114402813753,0.8421812414117434,6.3092626416855495,-2029120000,25.451885513821452,1.0
2023-02-06,33874.44,33962.84,33683.58,33891.02,33891.02,296400000,-0.007777978486791515,-0.007808384730152838,33486.589,0.009231799351293644,279.25999999999476,0,2,1,57.353851535129344,317.3573707675605,262.76190183965616,54.595468927904335,34524.13124185619,32449.046758143813,0.6948985707205813,6.196762780802707,-2325520000,24.957461073023598,1.0
2023-02-03,33926.3,34179.58,33813.86,33926.01,33926.01,425150000,0.0010324268788606261,0.0010318942927698054,33511.3175,0.008438573547535466,365.72000000000116,4,2,1,57.82519200625548,307.06247370875644,271.62201621347623,35.440457495280214,34565.85900671984,32456.775993280153,0.6966221800457669,6.293643970994831,-1900370000,24.971479804621247,1.0
2023-02-02,34129.3,34145.14,33814.78,34053.94,34053.94,429910000,0.0037708531006150903,0.0037637612566719745,33544.466,0.008450600759132183,330.3600000000006,3,2,1,59.58401147170569,305.702625885373,278.43813814785557,27.264487737517413,34623.19378240665,32465.738217593356,0.7361457674073072,6.431628885710364,-1470460000,24.98449719824763,1.0
2023-02-01,34039.6,34334.7,33581.42,34092.96,34092.96,370120000,0.0011458292344439513,0.0011451732731586263,33598.9355,0.007912303345143725,753.2799999999988,2,2,1,60.13016176536391,304.26613399086636,283.60373731645774,20.662396674408626,34672.91937318384,32524.95162681616,0.7299962375298326,6.39296368888734,-1100340000,24.172661546899395,1.0
2023-01-31,33803.56,34095.23,33664.91,34086.04,34086.04,360240000,-0.00020297445572337036,-0.000202995057826056,33670.1455,0.0074111154983803225,430.3199999999997,1,1,1,59.97537442195147,299.1212342559593,286.7072367043581,12.413997551601199,34672.63363809389,32667.657361906106,0.7074311326968798,5.954759762436378,-1460580000,23.418814156361748,1.0
2023-01-30,33909.21,34055.29,33695.18,33717.09,33717.09,343920000,-0.010824079300499667,-0.01088308582737081,33723.16499999999,0.007950979534172748,360.1100000000006,0,1,1,52.25223229878082,262.2496320789651,281.81571577927946,-19.56608370031438,34611.28920213613,32835.040797863854,0.49657987025610534,5.267146201349368,-1804500000,22.71881300800536,1.0
2023-01-27,33952.93,34164.33,33830.85,33978.08,33978.08,441260000,0.007740584967445452,0.007710780344301704,33777.6145,0.007974850865466192,333.4800000000032,4,1,1,56.517771065554015,251.19273997928394,275.69112061928035,-24.498380639996412,34584.3150122962,32970.9139877038,0.6242502619896643,4.776539280452739,-1363240000,22.38374807497654,1.0
2023-01-26,33771.66,33953.79,33635.6,33949.41,33949.41,327000000,-0.0008437792835851443,-0.0008441354656983348,33834.239,0.007946161002936483,318.1900000000023,3,1,1,55.92671505102061,237.3802719242085,268.028950880266,-30.648678956057495,34511.923539321906,33156.5544606781,0.5849739025441268,4.005909749126644,-1690240000,21.317165862651276,1.0
2023-01-25,33538.36,33773.09,33273.21,33743.84,33743.84,341720000,-0.006055186231513465,-0.006073593214418102,33863.735499999995,0.007860583684936676,499.8799999999974,2,1,1,51.74790069976316,207.45460297024692,255.9140812982622,-48.45947832801528,34467.75623389822,33259.71476610177,0.40075216522269147,3.5673603338782387,-2031960000,20.42812336377543,1.0
2023-01-24,33444.72,33782.92,33310.56,33733.96,33733.96,299310000,-0.00029279418110084166,-0.0002928370536858514,33898.179,0.007804865796863358,472.3600000000006,1,1,1,51.54854343936708,180.85626287275954,240.90251761316168,-60.046254740402134,34377.16529767034,33419.19270232965,0.3285765158641148,2.826029667672381,-2331270000,19.568229168863958,1.0
2023-01-23,33439.56,33782.88,33316.25,33629.56,33629.56,355220000,-0.003094804167669607,-0.003099602977563299,33923.177500000005,0.00785003271956071,466.6299999999974,0,1,1,49.383582092019445,149.62786236477405,222.64758656348414,-73.0197241987101,34274.195443408804,33572.15955659121,0.08176283361950812,2.06948740818161,-2686490000,18.769755987874735,1.0
2023-01-20,33073.46,33381.95,32948.93,33375.49,33375.49,367330000,-0.007554960576350078,-0.007583643849659914,33900.6175,0.0064432485037797735,433.0199999999968,4,1,1,44.486884201274364,103.18831367772509,198.75573198633236,-95.56741830860727,34324.065412020995,33477.169587979006,-0.12006150590484749,2.498172264980096,-3053820000,19.079803709587562,1.0
2023-01-19,33171.35,33227.49,32982.05,33044.56,33044.56,319770000,-0.009915360044152166,-0.00996484460308573,33868.003,0.006737992247727733,245.43999999999505,3,1,1,39.05484302577458,39.229142328294984,166.8504140547249,-127.62127172642991,34427.749336838344,33308.25666316165,-0.23555014638515376,3.305458174421131,-3373590000,19.367705165463757,1.0
2023-01-18,33948.49,34016.53,33269.9,33296.96,33296.96,351670000,0.007638171003033545,0.007609147870309742,33826.4485,0.006266102574933107,746.6299999999974,2,1,1,44.61004636364129,8.806097626278643,135.24155076903565,-126.43545314275701,34424.86473377959,33228.032266220405,0.057591798056886495,3.5381558532790893,-3021920000,18.84746158212177,1.0
2023-01-17,34222.32,34269.97,33860.67,33910.85,33910.85,353050000,0.01843681825608101,0.0182689206476967,33817.527500000004,0.007653620253768481,409.3000000000029,1,1,1,55.285672480589035,33.841306505026296,114.96150191623379,-81.12019541120749,34405.229249491145,33229.82575050886,0.5793961393519736,3.475722756438308,-2668870000,18.929482414312393,1.0
2023-01-13,34075.31,34342.32,33915.49,34302.61,34302.61,274110000,0.011552644655029365,0.011486422395907058,33820.3615,0.008033378827074182,426.83000000000175,4,1,1,60.515668504308884,84.32164045270474,108.83352962352798,-24.51188917082324,34416.78122309017,33223.94177690983,0.9042861774434415,3.5269860914418083,-2394760000,19.1594853605219,1.0
2023-01-12,34047.86,34292.67,33792.1,34189.97,34189.97,308190000,-0.003283715145873778,-0.0032891183701287277,33836.396499999995,0.007647690891372177,500.5699999999997,3,1,1,58.400577627758764,113.9253022014309,109.85188413910856,4.073418062322332,34454.07900871378,33218.71399128621,0.7862097396413741,3.6509946247602585,-2702950000,18.961988366390127,1.0
2023-01-11,33754.03,33974.69,33711.04,33973.01,33973.01,301650000,-0.00634572068943029,-0.006365940359270138,33850.053,0.007704281278587106,263.65000000000146,2,1,1,54.45279622579569,118.51340981422982,111.58418927413283,6.929220540096992,34467.135636543884,33232.970363456116,0.5996276614495682,3.6459773728796483,-3004600000,18.51041660815117,1.0
2023-01-10,33516.43,33726.54,33421.8,33704.1,33704.1,268260000,-0.00791540107867994,-0.007946894162811018,33837.8075,0.0077366836416173455,304.73999999999796,1,1,1,49.946183617355615,99.30599088050803,109.12854959540788,-9.822558714899841,34456.267789198064,33219.34721080194,0.3919029221962023,3.655439491450864,-3272860000,17.203786678161105,1.0
2023-01-09,33664.39,33935.11,33487.66,33517.65,33517.65,327840000,-0.005531967920816672,-0.005547325921521487,33805.8555,0.007663623189055783,447.4499999999971,0,1,1,47.03927878452333,68.2522468055904,100.95328903744438,-32.701042231853975,34421.137844374476,33190.57315562552,0.26579410848120616,3.640093322735041,-3600700000,16.55273763454325,1.0
2023-01-06,33055.3,33710.66,32997.39,33630.61,33630.61,360740000,0.0033701646744326297,0.003364498396756461,33792.835,0.007542731757043176,713.2700000000041,4,1,1,48.97678585856637,52.15564108529361,91.19375944701423,-39.03811836172062,34411.370227986205,33174.299772013794,0.36886357263097025,3.6607477767769727,-3239960000,16.07775715062007,1.0
2023-01-05,33191.72,33191.72,32812.33,32930.08,32930.08,337920000,-0.020830130645861034,-0.02105013837342255,33743.0385,0.008808520251673143,379.3899999999994,3,1,1,39.35997706803058,-16.932761015632423,69.5684553544849,-86.50121637011732,34462.753154909115,33023.32384509089,-0.0647783426771153,4.265855636617385,-3577880000,16.04456232803493,1.0
2023-01-04,33165.14,33409.1,33033.48,33269.77,33269.77,379400000,0.01031549270454235,0.010262651090523232,33703.83,0.009128503314512083,375.61999999999534,2,1,1,44.999566872737375,-43.7711072654638,46.90054283049516,-90.67165009595897,34436.84065795795,32970.81934204205,0.20391972116120008,4.349717275205527,-3198480000,15.400816751348431,1.0
2023-01-03,33148.9,33387.52,32850.57,33136.37,33136.37,355930000,-0.00400964599394571,-0.004017706177313365,33656.000499999995,0.009133806511941284,536.9499999999971,1,1,1,43.296624506946266,-74.94108102512837,22.532218059370457,-97.47329908449882,34405.84829744888,32906.15270255111,0.15350935098571541,4.455953091924189,-3554410000,15.221523920427355,1.0
2022-12-30,33121.61,33152.55,32847.82,33147.25,33147.25,295500000,0.00032834012898819154,0.0003282862371642824,33609.061,0.009138188830379692,304.7300000000032,4,12,4,43.48447706611059,-97.64005099608767,-1.502235751721166,-96.1378152443665,34362.87601221185,32855.245987788156,0.19368413170430598,4.485784427073675,-3258910000,15.061379831352621,1.0
2022-12-29,33021.43,33293.42,33020.35,33220.8,33220.8,243060000,0.0022188869363219954,0.0022164288421876567,33584.2465,0.00888892467864203,273.0699999999997,3,12,4,44.81543488731389,-108.44420067708415,-22.890628736793765,-85.5535719402904,34354.69396923522,32813.799030764785,0.26413284843366863,4.588148012998987,-3015850000,14.483057968052208,1.0
2022-12-28,33264.76,33379.55,32869.15,32875.71,32875.71,252260000,-0.01038776910851047,-0.010442098550679107,33529.128,0.008906807006581682,510.40000000000146,2,12,4,40.04969695070629,-143.20170597499236,-46.95284418443349,-96.24886179055888,34335.86273701332,32722.39326298668,0.09502301684747484,4.812142666002643,-3268110000,14.331267365951689,1.0
2022-12-27,33224.23,33387.72,33069.58,33241.56,33241.56,246010000,0.011128276773338053,0.011066813071052952,33493.735499999995,0.009352185116751727,318.1399999999994,1,12,4,46.54029171223656,-139.6168260120976,-65.48564054996632,-74.13118546213127,34285.58276980583,32701.888230194163,0.3407675888925947,4.728330584719834,-3022100000,14.1633377565975,1.0
2022-12-23,32961.06,33226.14,32814.02,33203.93,33203.93,221050000,-0.0011320166682911026,-0.001132657883116004,33466.74,0.009276930007327345,412.1200000000026,4,12,4,45.98877234119779,-138.21890779602109,-80.03229399917727,-58.186613796843815,34259.453103209446,32674.02689679055,0.33423384895748404,4.737318921469182,-3243150000,14.646990451572714,1.0
2022-12-22,33233.35,33233.35,32573.43,33027.49,33027.49,340640000,-0.005313828814842214,-0.005327997418491465,33431.4165,0.009331251243375877,659.9199999999983,3,12,4,43.39225400457172,-149.62351423304062,-93.95053804594994,-55.67297618709068,34236.220744652666,32626.612255347332,0.2490529512711965,4.814658359765684,-3583790000,15.624111901623914,1.0
2022-12-21,33028.09,33437.84,33028.09,33376.48,33376.48,328020000,0.01056665220396713,0.010511215314172494,33418.7625,0.009665147088110608,409.75,2,12,4,49.46933729489603,-129.01397780355182,-100.96322599747032,-28.050751806081507,34218.65049955678,32618.874500443213,0.4735697372485757,4.787059362576841,-3255770000,15.808845203822234,1.0
2022-12-20,32735.24,32992.23,32649.45,32849.74,32849.74,303970000,-0.015781772074227263,-0.01590763017129233,33392.475,0.010151499626490012,342.7800000000025,1,12,4,42.119603629678146,-153.41580564023025,-111.45374192602232,-41.96206371420793,34229.99485078561,32554.955149214387,0.17598678437836204,5.0162190780145,-3559740000,16.77399339441532,1.0
